Name,Gender,Age,City,Tenure,ProductsNo,HasCard,ActiveMember,Credit,AccountBal,Salary,Exited
Qiu Deba,Female,32,Beijing,2,1,1,0,675,18672.78,191465.8713,0
Zhen dema,Female,23,Beijing,9,1,0,1,567,15568.95,115032.306,0
Shei Shiwo,Male,32,Shanghai,6,1,1,0,562,17491.87,198803.2518,0
Zhi Fen,Male,40,Beijing,9,1,1,1,714,18487.04,57220.4487,0
Mao Laoren,Male,31,Tianjin,1,2,1,0,706,10409.08,143934.6984,0
Qiu Ba,Male,41,Beijing,5,1,1,1,749,11688,70809.7962,0
Wu Shangui,Female,39,Beijing,2,2,1,0,574,16914.65,150705.2703,0
Wu Zhihui,Male,37,Beijing,2,1,0,1,596,23169.38,0,0
Qiu Deba,Female,36,Beijing,4,2,1,0,700,25007.48,0,0
Zhen dema,Male,34,Shanghai,10,2,0,1,567,30893.26,0,0
Er Shiduo,Male,41,Beijing,2,2,1,0,721,32164.38,0,0
Qu Bo,Female,38,Shanghai,3,3,1,0,684,758.41,165027.255,1
Li Hong,Male,34,Shanghai,5,1,1,0,657,5303.63,190630.2954,0
Shen De,Male,30,Tianjin,6,2,0,0,772,37712.81,122735.8944,0
Na De,Female,41,Beijing,2,1,1,0,599,22127.1,112334.3133,0
Guo Hechai,Female,48,Beijing,2,2,0,1,559,26378.85,0,0
Zhang Jie,Male,35,Beijing,2,2,1,1,601,22750.13,0,0
Lin Daiyu,Male,62,Shanghai,3,1,1,1,640,19438.52,0,0
Guo Hechai,Male,26,Tianjin,2,1,1,1,687,29370.12,175547.4696,0
Zhen dema,Male,37,Beijing,9,1,0,1,541,28454.02,261146.2569,0
Zhang Jia,Male,42,Tianjin,1,1,1,0,601,7651,121149.7356,1
Zai Jian,Female,43,Shanghai,7,1,1,1,648,27635.34,99819.1986,1
Qu Bo,Female,49,Beijing,3,1,1,0,722,26915.02,206883.1218,1
Dou Bai,Male,33,Beijing,1,2,1,1,670,16522.58,0,0
Hu Bao,Male,35,Beijing,4,1,1,0,716,25646.77,177647.5101,0
Xiao Jian,Female,37,Tianjin,2,1,0,0,660,13658.48,163836.1107,0
Bao Qiao,Female,37,Tianjin,1,2,1,1,776,37491.26,114542.5692,0
Shen De,Male,33,Beijing,9,1,1,0,644,18293.12,173719.0254,0
Guo Hechai,Male,33,Shanghai,10,1,0,0,681,30274.63,0,0
We Po,Female,28,Tianjin,3,2,1,0,628,21180.88,188851.8999,0
Kan Jian,Male,31,Tianjin,2,1,1,1,507,31820.96,165111.5961,1
Zheng Nengliang,Male,55,Beijing,5,1,0,1,482,14993.52,119701.4475,0
Er Shazi,Female,38,Beijing,6,1,0,0,658,29764,126560.973,0
Wu Shangui,Female,30,Tianjin,8,2,1,1,727,26367.78,146403.5544,0
Jiu Zheyang,Female,25,Tianjin,5,2,1,0,522,19745.5,115681.4016,0
Shei Zhidao,Female,40,Beijing,9,2,1,1,790,13500.4,0,0
Wo Bai,Male,36,Shanghai,3,1,1,1,772,35745.38,137796.6909,0
Huang Zuihao,Female,44,Shanghai,9,2,1,0,757,33944.34,0,0
Dou Bai,Male,22,Tianjin,7,2,1,0,566,19549.9,178294.3425,0
Ba Genru,Male,31,Tianjin,6,1,1,0,581,20485.14,143776.8156,0
Tian Tian,Female,47,Tianjin,9,1,0,0,516,28606.91,157807.4502,1
Yi zhi,Female,34,Beijing,8,2,1,1,672,3106.16,0,0
Huang Zuihao,Male,35,Beijing,4,1,0,0,849,24172.04,136330.4079,0
Qi Fei,Male,34,Tianjin,2,1,1,0,674,33596.44,187941.417,1
Kan Jian,Male,60,Tianjin,8,3,0,0,824,29263.12,165127.7091,1
Zhao Wei,Male,39,Tianjin,9,2,0,1,698,10189.19,163825.1637,0
Li Zhi,Male,28,Beijing,5,1,1,1,674,29048.8,0,0
We Maoqian,Male,38,Shanghai,3,1,0,0,683,2940.48,155167.9932,0
Tian Tian,Male,38,Shanghai,7,1,1,1,606,37070.46,158151.5796,0
Shuai Jile,Female,36,Beijing,3,1,1,0,548,12618.91,0,0
Jiu Zheyang,Male,34,Beijing,5,1,1,1,653,10099.45,146171.6625,0
Sheng Shiwu,Female,55,Beijing,6,3,0,1,576,12913.92,54835.9461,1
Wang Qiang,Female,27,Shanghai,8,2,0,0,657,1236.75,0,0
Zhang Jia,Male,39,Beijing,7,2,0,1,675,6934.45,0,0
Guan Yu,Male,23,Beijing,3,1,1,0,743,18275.99,135550.6371,0
Chen De,Female,31,Beijing,0,1,0,1,507,8413.21,131538.7584,0
Si Shiba,Male,30,Beijing,3,2,1,0,701,8746.16,192692.6856,0
Ba Qiu,Male,25,Beijing,0,1,0,0,732,32997.43,136459.767,0
Tan Anwen,Female,35,Beijing,1,2,1,1,639,26595.43,126708.5976,0
Wo Shishei,Female,37,Tianjin,6,1,1,0,587,36716.25,128429.2569,0
Chen De,Female,36,Shanghai,6,2,1,1,750,11437.17,0,0
Ren Shi,Male,47,Tianjin,1,1,1,0,713,37768.49,118073.8254,0
Zhang Ming,Female,52,Beijing,1,1,0,1,549,1651.25,0,1
Wu Shangui,Male,40,Beijing,8,2,1,0,667,18916.15,89722.7067,0
San Shaneshi,Female,39,Beijing,9,2,0,1,701,27895.77,0,0
Qi Hui,Male,41,Tianjin,1,2,0,1,850,24054.74,217658.9058,0
Wu Zhihui,Male,41,Shanghai,7,1,1,0,743,31307.09,0,1
Zhao Wei,Male,42,Shanghai,8,2,0,1,728,7996.79,0,0
Zhen Haowao,Female,39,Tianjin,0,2,1,1,638,18165.92,150676.5744,0
San Shaneshi,Female,48,Beijing,7,2,1,1,637,25240.12,160892.5977,1
Hu Ying,Male,53,Shanghai,9,1,1,0,621,6804.6,209704.9632,1
Ni Bai,Female,37,Beijing,9,2,0,0,770,4342.39,0,0
Mao Xi,Male,27,Beijing,9,1,1,0,637,8945.87,158596.4952,0
Ren Shi,Male,41,Beijing,6,2,0,1,682,25651.64,0,1
Zhen Dema,Male,29,Tianjin,4,1,1,1,752,19680.77,159303.4377,0
Zhao De,Female,33,Beijing,8,2,1,1,602,21592.49,0,0
Zheng Nengliang,Male,26,Beijing,8,1,1,0,634,4160.79,0,0
Jia Shuji,Male,34,Tianjin,7,1,1,1,772,23149.75,137226.0693,0
Qiu Ba,Female,38,Beijing,9,2,1,1,600,11253.5,0,0
Tan Anwen,Female,36,Beijing,8,2,1,1,709,13322.47,0,0
Zhao Hu,Female,49,Tianjin,1,1,1,0,561,25440.08,125491.1436,1
Tan Anwen,Female,47,Beijing,6,1,1,1,697,32132.58,157750.7718,0
Di Shioing,Male,32,Beijing,0,1,0,1,648,22432.75,0,0
Zen Meban,Male,58,Shanghai,1,2,1,1,801,5828.71,98344.1703,0
We Po,Male,29,Beijing,0,1,1,0,582,27249.78,0,0
Wei Sansi,Female,23,Tianjin,4,1,0,1,656,4031.57,201166.0449,0
Zhi Fen,Male,33,Beijing,8,1,1,0,574,19695.27,123328.4469,0
Te kepa,Male,34,Beijing,1,1,0,1,792,16506.75,0,0
Wu Shangui,Male,32,Tianjin,6,1,1,0,561,26663.85,205194.2457,0
Huang Zuihao,Male,24,Shanghai,8,2,1,0,742,778.25,0,0
Fei Xing,Male,63,Beijing,4,1,0,1,714,31869.51,169841.0568,0
Sheng Shiwu,Female,21,Tianjin,1,2,1,1,666,19085.71,149847.7389,0
Dao Lema,Female,38,Shanghai,7,1,1,0,594,14820.54,119135.7705,0
Si Shiba,Male,32,Beijing,2,2,0,1,629,14907.34,0,0
Shuai Jile,Male,43,Shanghai,9,1,1,0,640,36536.21,212148.1245,1
Jia Shuji,Female,31,Shanghai,4,2,1,1,689,26120.46,0,0
Wu Shangui,Male,36,Beijing,3,2,0,1,577,27492.05,148943.7381,0
Si Shiba,Male,31,Beijing,1,2,0,1,554,36837.58,0,0
Zhen Dema,Female,35,Shanghai,10,1,1,0,634,15800.07,0,0
Ni Bai,Male,60,Tianjin,9,2,0,0,720,30124.68,142582.3626,1
Shuai Jile,Male,36,Beijing,6,2,0,1,698,3677.24,0,0
Tan Anwen,Female,35,Beijing,2,1,1,1,563,12620.79,225794.5932,1
Tian Tian,Male,26,Tianjin,7,2,1,0,772,15184.32,187452.6273,0
Zhao Lao,Female,52,Tianjin,1,1,1,0,489,7120.47,161673.0573,1
Ren Gui,Female,35,Beijing,8,2,0,0,571,16170,0,0
Wu Baige,Male,40,Beijing,9,2,0,1,594,36497.64,150573.1191,0
Shei Shiwo,Female,39,Shanghai,6,1,0,1,678,35442.93,0,0
We Maoqian,Male,47,Beijing,0,1,0,1,535,27913.26,197696.793,0
Qiu Deba,Male,41,Tianjin,8,2,1,1,716,26396.02,155159.0142,0
Qu Bo,Male,36,Beijing,3,1,0,0,468,20609.44,75813.4731,0
Zhao De,Male,33,Tianjin,9,2,0,1,686,35188.61,174559.2507,0
Hao Ya,Male,31,Shanghai,8,1,1,1,593,33818.14,138637.4082,0
Tan Anwen,Male,45,Tianjin,9,1,0,0,688,24831.91,127181.8401,0
Xue Baochai,Female,57,Beijing,8,2,0,1,675,18253.01,0,0
Xiao Jian,Female,53,Beijing,8,2,0,1,735,32591.76,152329.7928,1
Xue Baochai,Female,37,Tianjin,7,1,1,1,691,18769.1,151373.1849,1
Guan Yu,Female,40,Shanghai,8,1,1,0,675,27300.95,97214.2185,1
Qi Fei,Female,36,Shanghai,2,2,1,1,530,2814.87,0,0
Yi zhi,Female,48,Shanghai,6,1,1,0,726,12298.89,122884.6137,0
Zhong Guoren,Male,29,Beijing,7,2,1,1,726,17561.02,0,1
Yi zhi,Male,61,Shanghai,7,1,1,1,617,19472.23,112016.6289,0
Ren Gui,Male,38,Beijing,1,2,1,0,823,29943.34,0,0
Shuai Jile,Female,60,Beijing,10,1,1,0,678,28200.71,144818.7363,1
Ba Qiu,Male,45,Shanghai,0,1,0,1,714,35792.38,153372.9804,0
Yi Baoduo,Male,33,Beijing,2,1,1,1,696,1345.19,200661.3021,0
Qiu Ba,Male,37,Beijing,8,1,1,1,701,22950.53,160012.545,0
Wo Shishei,Male,39,Beijing,3,2,1,0,605,38124.36,0,0
Dao Lema,Male,48,Beijing,5,1,0,1,733,22529.74,0,0
Zhen Shi,Male,42,Beijing,7,2,1,0,518,22825.49,185763.2715,0
Shei Shiwo,Female,48,Tianjin,3,2,1,0,778,34931.41,125817.3888,0
Wu Baige,Male,32,Shanghai,7,1,1,1,642,7603.93,123533.574,0
Zhen Dema,Male,30,Shanghai,9,2,1,1,638,20390.62,168274.4919,0
Jia Shi,Male,31,Beijing,4,2,1,1,769,1360.99,75395.3715,0
Te Ke,Female,35,Beijing,6,1,0,1,721,590.22,145476.8109,0
Tan Anwen,Male,37,Shanghai,9,2,1,0,722,6103.62,0,0
Li Si,Female,38,Shanghai,3,2,0,1,850,34294.6,0,0
Ji Leyuan,Male,32,Beijing,9,2,1,0,786,25451.7,0,0
Qi Hui,Male,37,Beijing,6,1,1,0,528,37688.71,127640.1135,0
Ba Genru,Female,41,Tianjin,2,1,1,0,611,31369.33,140474.4132,0
Jia Baoyu,Female,36,Beijing,3,2,1,0,570,17613.52,0,0
Jia Shi,Female,36,Beijing,0,1,1,1,664,27952.54,127307.7306,0
Jia Baoyu,Male,35,Beijing,9,2,1,0,573,2245.48,0,0
Chen De,Female,32,Beijing,7,2,1,1,760,20261.76,0,0
San Shaneshi,Female,70,Shanghai,5,1,1,1,850,134.83,0,0
Lang Ping,Male,42,Shanghai,6,2,1,0,599,21772.16,0,0
Jiu Zheyang,Male,29,Tianjin,3,1,1,0,651,10426.48,149924.7738,1
Qi Moamao,Male,36,Beijing,4,2,1,1,743,36503.06,0,0
Zhang Jia,Male,40,Beijing,6,2,1,1,623,12642.26,0,0
Mao Laoren,Male,66,Shanghai,2,2,0,1,614,34432.63,0,0
Zhen dema,Female,29,Shanghai,4,2,1,0,584,16991.76,0,0
Lang Ping,Male,59,Shanghai,4,2,1,1,588,5245.77,0,0
Wu Zhihui,Female,37,Shanghai,6,2,1,0,680,17748.82,152692.9011,0
Si Shiba,Male,46,Beijing,2,1,1,0,674,17244.68,214882.2915,1
Na De,Female,31,Beijing,3,1,1,0,616,11347.3,168250.6422,1
Wu Shangui,Male,35,Shanghai,6,1,0,0,741,19043.14,91476.9327,0
Qi Hui,Male,41,Tianjin,5,1,0,1,648,968.78,151350.5283,0
Wu Zhihui,Male,56,Shanghai,6,1,0,0,796,23167.22,115904.2899,1
Wo Shishei,Female,47,Tianjin,6,1,1,1,706,26922.31,148364.9247,0
Zhen Haowao,Male,44,Beijing,10,1,0,0,656,24367.9,176592.9696,0
Ji Leyuan,Female,30,Beijing,10,2,1,1,775,18388.21,235042.8402,0
Na De,Male,29,Tianjin,9,1,1,1,659,16086.7,101987.2704,0
Kong Pi,Female,34,Tianjin,8,1,1,0,620,23073.05,125769.4311,0
We Maoqian,Male,38,Shanghai,8,2,0,0,556,79.81,0,1
Xue Qiao,Female,57,Tianjin,1,4,0,0,720,5190.38,199361.2413,1
Wo Shishei,Female,41,Beijing,4,1,0,1,548,10644.75,101594.064,0
Hu Bao,Male,52,Beijing,1,1,0,0,551,12157.65,0,1
Ba Qiu,Female,38,Shanghai,1,1,0,0,698,3242.34,211373.5074,0
Li Hong,Male,35,Beijing,8,2,1,1,675,10830.39,0,0
Da Chishi,Female,34,Beijing,9,1,1,0,687,38036.29,154333.5612,0
Shei Shiwo,Female,30,Beijing,6,1,1,1,640,35876.14,132224.631,0
Xiao Jian,Female,35,Beijing,2,4,1,0,850,14431.92,158114.6427,1
Cuo De,Female,27,Beijing,6,1,0,0,564,1495.17,0,0
Qiu Deba,Male,48,Shanghai,5,1,1,0,752,29946.15,142753.8984,1
Hu Bao,Female,72,Beijing,3,1,1,1,714,16583.86,0,0
Kong Pi,Female,66,Tianjin,9,1,0,1,571,36189.65,137239.7223,0
Zhen Haowao,Male,38,Beijing,1,1,1,1,802,32982.35,175345.2453,0
Chen De,Male,34,Tianjin,4,2,1,0,762,13109.41,109243.1388,1
Ni Bai,Male,33,Shanghai,9,2,0,0,663,17498.01,0,0
La Ma,Female,27,Beijing,5,2,0,0,455,13532.49,191731.2807,0
Zen Meban,Male,55,Beijing,6,1,1,0,850,180.57,0,1
Er Shazi,Female,35,Beijing,2,1,1,1,682,12186.84,222834.7212,1
Qi Hui,Male,41,Beijing,1,1,1,1,576,35998.96,0,0
Li Zhi,Male,34,Shanghai,9,1,1,1,716,12752.52,0,0
Huang Jiangang,Female,41,Shanghai,2,2,1,0,494,36027.94,86068.8318,1
Si Shi,Male,39,Tianjin,8,2,1,0,606,6062.81,167280.5535,0
Guo Hechai,Female,67,Shanghai,10,1,0,1,808,32484.58,153229.8945,0
Shen De,Female,43,Beijing,6,2,1,1,653,1401.64,0,0
Qi Hui,Male,32,Shanghai,9,1,1,1,647,24587.13,99578.7828,0
Tian Ci,Female,40,Beijing,3,1,1,0,672,21638.93,0,1
Zhong Guoren,Male,34,Shanghai,0,1,1,0,569,19560.19,186762.2898,1
Mao Xi,Male,35,Beijing,8,2,1,0,687,1975.91,0,0
La Ma,Male,32,Beijing,6,1,1,1,632,32578,137254.8759,0
Ji Leyuan,Female,50,Tianjin,5,2,1,1,589,6680.92,178220.9115,0
Li Hong,Male,26,Beijing,3,2,0,1,652,32311.61,169737.786,0
Ren Gui,Male,26,Beijing,5,1,1,0,678,11652.25,136687.4892,1
Zhang Jie,Female,29,Shanghai,9,2,0,1,655,16393.16,0,0
Shen De,Female,46,Shanghai,8,2,1,1,606,35127.71,0,0
Huang Zuihao,Female,33,Beijing,1,1,1,0,697,32987.47,107437.671,0
Lin Daiyu,Female,56,Tianjin,9,1,1,0,795,5590.68,116049.1962,1
Qiu Liwei,Male,49,Shanghai,2,1,1,0,526,21900.51,0,1
Ke Lian,Male,31,Shanghai,6,1,0,0,699,26462.01,140827.2264,0
Bao Qiao,Male,40,Beijing,6,1,1,1,614,3889.06,0,1
Kong Pi,Male,28,Tianjin,7,1,1,0,714,33984.14,95664.9597,0
We Po,Female,37,Tianjin,5,2,1,1,752,25328.4,139347.9915,0
We Po,Male,63,Tianjin,7,1,1,1,718,19223.47,151542.0024,0
Lin Daiyu,Female,35,Beijing,4,2,1,0,754,8571.83,0,0
Mao Laoren,Female,47,Shanghai,6,1,1,0,686,6133.97,0,1
Na De,Female,35,Tianjin,7,1,1,0,473,36244.82,161750.8179,0
Qiu Deba,Male,26,Beijing,8,1,1,0,505,27726.88,138956.2611,0
We Maoqian,Female,38,Shanghai,4,2,1,0,593,12814.53,109145.8212,0
Qiu Deba,Female,46,Tianjin,9,1,1,0,528,25458.13,166733.4618,1
Si Shi,Male,38,Beijing,2,2,1,1,633,20587.63,113040.1488,0
Jia Shi,Male,27,Beijing,2,2,1,1,771,38150.54,0,0
Da Chishi,Female,59,Tianjin,7,2,1,0,496,31193.34,112766.523,1
Wo Bai,Female,42,Tianjin,2,2,0,1,787,8465.37,91615.2831,0
Yi zhi,Female,44,Beijing,10,1,0,1,725,17930.7,0,0
Ba Qiu,Male,32,Shanghai,5,1,0,1,618,29606.76,164175.5907,0
Hao Ya,Male,25,Tianjin,6,2,1,1,664,20651.74,212559.6456,0
Wo Bai,Female,36,Tianjin,6,1,0,1,813,5102.71,120648.3507,1
Yi Baoduo,Female,28,Beijing,5,1,0,1,632,27754.86,146235.6963,0
Wo Bai,Female,35,Beijing,6,1,0,1,767,5338.9,142159.0212,0
Dou Bai,Female,40,Shanghai,8,2,1,0,618,15335.44,0,0
Qi Hui,Male,46,Tianjin,8,1,0,0,568,12335.9,185529.4116,1
Qi Moamao,Male,32,Beijing,0,1,1,1,694,11464.97,113106.4827,0
Kong Pi,Female,49,Shanghai,2,2,0,1,594,23559.22,155737.6062,0
Ji Leyuan,Male,41,Tianjin,7,1,0,1,512,7158.68,150555.9852,1
Qi Moamao,Male,38,Shanghai,1,2,1,0,597,7897.37,0,0
Huang Jiangang,Male,32,Beijing,9,1,1,0,654,36341.97,149390.4495,1
Er Shiduo,Female,36,Tianjin,0,2,1,1,558,32956.69,155726.1549,0
Wang Qiang,Male,38,Shanghai,9,1,1,0,794,4511.7,220885.0113,0
Hu Ying,Female,32,Beijing,1,1,1,0,600,12303.93,96598.3575,0
Qiu Ba,Male,57,Beijing,3,1,1,1,757,10168.1,109567.6743,1
Li Zhi,Male,41,Shanghai,5,2,0,0,826,34595.53,180153.7458,0
Zhen Shi,Female,53,Shanghai,1,1,1,1,386,11953.08,162304.7361,1
Hu Bao,Male,24,Beijing,5,2,1,0,555,5260.7,0,0
Fei Xing,Female,35,Shanghai,1,2,1,0,555,19439.19,0,0
Cha Buduo,Female,26,Tianjin,1,1,0,0,676,11516.58,133268.8518,1
Hu Bao,Male,25,Shanghai,3,2,1,1,599,23095.6,0,0
Zhang San,Male,27,Beijing,0,2,0,1,742,25150.08,0,0
Si Shiba,Male,34,Shanghai,7,2,1,0,523,11860.43,0,0
Ren Gui,Male,39,Beijing,8,1,1,0,557,34023.83,179826.0123,0
Qu Bo,Male,39,Tianjin,4,1,1,0,800,2658.95,117160.8456,0
Yu Laoren,Male,29,Shanghai,2,1,1,1,577,32299.12,0,0
Wo lIaobu,Female,46,Tianjin,7,1,1,1,706,28522.03,136884.4614,1
Shen De,Female,37,Beijing,5,1,0,0,601,3959.57,0,0
La Ma,Male,42,Beijing,5,2,1,0,608,34130.83,0,0
Ke Lian,Female,27,Beijing,1,1,0,1,666,12334.88,104827.0083,0
Jia Baoyu,Female,27,Beijing,5,1,1,0,613,38069.69,153956.3202,0
Tian Tian,Female,46,Shanghai,3,1,1,0,693,34557.59,186602.4759,0
Hao Ya,Male,41,Shanghai,9,1,0,1,696,36599.88,156854.2125,0
Ji Leyuan,Female,35,Beijing,2,1,1,1,617,28228.76,128544.963,0
Li Hong,Female,52,Beijing,9,2,0,0,576,28389.59,209381.1657,1
Qiu Ba,Female,29,Beijing,6,1,1,1,547,7105.21,128474.5578,0
Da Chishi,Male,42,Shanghai,5,1,1,0,587,37263.92,147887.6109,0
Zhong Guoren,Female,41,Beijing,9,1,1,1,731,16975.82,187259.5911,0
Tian Tian,Male,29,Tianjin,7,1,1,0,607,31215.57,126209.07,0
Zhen Dema,Female,37,Tianjin,8,1,1,0,545,26013.46,141147.5184,1
Qi Lai,Male,44,Beijing,3,1,1,0,720,34442.61,105905.7921,1
La Ma,Female,25,Tianjin,3,1,1,0,546,25171.56,163390.371,0
Te Ke,Male,42,Beijing,4,2,1,0,620,1191.64,0,0
Jia Shuji,Male,36,Beijing,5,1,1,1,683,23385.45,141881.2749,0
Wo lIaobu,Male,36,Tianjin,2,1,1,1,756,32512.8,168283.2372,0
Li Si,Male,38,Shanghai,8,2,1,1,539,1926.2,87896.6241,0
Ba Qiu,Female,44,Shanghai,0,2,1,0,496,558.16,220608.2244,1
Te Ke,Female,41,Shanghai,7,1,0,0,614,2804.27,221296.4955,1
Zhang Ming,Male,45,Beijing,7,1,0,1,815,10111.89,0,1
Qu Bo,Female,31,Shanghai,6,1,1,0,469,27956.73,0,1
Tian Ci,Male,46,Beijing,0,2,0,0,668,5619.12,0,0
Ba Genru,Female,32,Beijing,3,2,1,1,484,26652.19,0,0
Te kepa,Male,39,Beijing,7,2,1,0,541,3790.25,0,0
Zhen dema,Female,33,Tianjin,0,1,1,0,548,8173.96,124333.7628,0
Wo Bai,Male,45,Tianjin,9,1,1,1,710,36056.22,133124.5851,0
Sheng Shiwu,Female,43,Beijing,3,2,0,0,850,471.47,0,0
Lang Ping,Male,41,Tianjin,0,1,0,1,579,1759.37,174352.1064,0
We Po,Female,54,Shanghai,5,2,1,0,567,30323.26,113549.0613,1
Tian Tian,Male,38,Shanghai,1,2,0,1,533,29245.95,166405.8759,0
Li Zhi,Female,70,Shanghai,1,2,1,1,788,7956.14,0,0
San Shaneshi,Male,40,Shanghai,6,2,0,0,786,7886.95,0,0
Cha Buduo,Male,41,Shanghai,5,2,1,0,562,16402.92,203497.3992,0
Dou Bai,Female,36,Shanghai,5,1,0,0,526,11111.22,112092.5814,0
Mao Laoren,Female,40,Shanghai,6,1,0,1,838,28806.75,75855.5637,1
Guo Hechai,Female,38,Beijing,3,1,0,1,568,23802.34,163530.8616,0
